campbell,lawson,gravett,kotsar,silva,team,game
15,23,6,7,7,Stony Brook,1
3,18,18,8,8,Norfolk State,2
4,10,14,4,6,Providence,3
9,19,0,12,20,George Washington,4
4,0,11,13,8,Wofford,5
3,25,23,7,9,Coastal Carolina,6
5,15,2,6,11,Wyoming,7
2,10,9,16,18,Michigan,8
2,7,10,0,11,Virginia,9
2,8,14,0,18,Clemson,10
11,22,6,7,21,North Greenville,11
6,6,22,4,18,Florida,12
10,6,17,25,11,Mississippi State,13
8,11,12,4,14,Missouri,14
4,24,17,3,2,Vanderbilt,15
4,18,9,6,7,LSU,16
3,7,13,9,32,Auburn,17
8,12,8,8,15,Oklahoma State,18
14,9,4,8,28,Tennessee,19
9,19,13,6,19,Georgia,20
12,12,2,4,4,Kentucky,21
4,24,9,4,16,Arkansas,22
19,9,15,4,17,Tennessee,23
13,23,18,0,22,Texas A&M,24
8,15,15,2,18,Ole Miss,25
3,18,6,13,5,Mississippi State,26
